date,open,high,low,close,volume
2024-08-05,2611.3,2611.3,2386.96,2441.55,763778.0
2024-08-06,2533.34,2578.77,2491.47,2522.15,567266.0
2024-08-07,2515.27,2594.83,2510.82,2568.41,476991.0
2024-08-08,2530.21,2570.34,2518.52,2556.73,495299.0
2024-08-09,2603.08,2603.08,2575.9,2588.43,475012.0
2024-08-12,2602.16,2622.86,2602.01,2618.3,293084.0
2024-08-13,2624.5,2636.12,2607.52,2621.5,378532.0
2024-08-14,2649.11,2653.71,2632.44,2644.5,328748.0
2024-08-16,2695.49,2699.61,2680.74,2697.23,385852.0
2024-08-19,2697.97,2699.84,2664.28,2674.36,395637.0
2024-08-20,2699.74,2706.05,2686.06,2696.63,484188.0
2024-08-21,2687.2,2704.98,2684.61,2701.13,417330.0
2024-08-22,2710.95,2711.38,2690.35,2707.67,441756.0
2024-08-23,2690.8,2712.84,2689.54,2701.69,330592.0
2024-08-26,2716.88,2718.47,2688.79,2698.01,333688.0
2024-08-27,2696.24,2700.18,2681.92,2689.25,264057.0
2024-08-28,2690.59,2695.51,2671.59,2689.83,280774.0
2024-08-29,2657.18,2672.9,2649.56,2662.28,288836.0
2024-08-30,2676.72,2686.51,2668.66,2674.31,278845.0
2024-09-02,2683.8,2686.98,2658.31,2681.0,266993.0
2024-09-03,2683.12,2695.59,2664.63,2664.63,303460.0
2024-09-04,2589.94,2608.13,2578.07,2580.8,455469.0
2024-09-05,2598.36,2615.8,2560.65,2575.5,379003.0
2024-09-06,2576.66,2576.94,2529.31,2544.28,374782.0
2024-09-09,2498.67,2543.22,2491.3,2535.93,270231.0
2024-09-10,2542.69,2544.83,2522.48,2523.43,347650.0
2024-09-11,2524.86,2526.13,2493.37,2513.37,302561.0
2024-09-12,2547.5,2572.09,2537.87,2572.09,340479.0
2024-09-13,2571.81,2584.11,2562.91,2575.41,358263.0
2024-09-19,2594.67,2598.68,2550.09,2580.8,385081.0
2024-09-20,2603.83,2619.55,2591.4,2593.37,495964.0
2024-09-23,2596.47,2603.57,2588.49,2602.01,339140.0
2024-09-24,2612.45,2631.68,2597.81,2631.68,355097.0
2024-09-25,2652.71,2663.36,2596.32,2596.32,454472.0
2024-09-26,2630.91,2671.57,2630.3,2671.57,324889.0
2024-09-27,2674.58,2681.45,2649.78,2649.78,413004.0
2024-09-30,2665.24,2668.66,2593.27,2593.27,358916.0
2024-10-02,2566.55,2591.61,2555.46,2561.69,351004.0
2024-10-04,2563.7,2585.59,2555.57,2569.71,414329.0
2024-10-07,2579.2,2611.93,2561.46,2610.38,343671.0
2024-10-08,2592.65,2601.96,2581.79,2594.36,318240.0
2024-10-10,2611.65,2613.61,2596.86,2599.16,618560.0
2024-10-11,2612.02,2621.93,2594.43,2596.91,491276.0
2024-10-14,2602.63,2628.54,2602.63,2623.29,401706.0
2024-10-15,2632.37,2635.32,2615.47,2633.45,438293.0
2024-10-16,2606.7,2622.33,2601.35,2610.36,437553.0
2024-10-17,2620.74,2622.71,2603.52,2609.3,331265.0
2024-10-18,2616.04,2618.32,2587.96,2593.82,265201.0
2024-10-21,2600.77,2618.71,2594.05,2604.92,240675.0
2024-10-22,2600.87,2604.16,2564.46,2570.7,343318.0
2024-10-23,2575.25,2607.79,2567.42,2599.62,352421.0
2024-10-24,2591.69,2600.26,2578.8,2581.03,343098.0
2024-10-25,2597.44,2611.27,2577.0,2583.27,462898.0
2024-10-28,2588.45,2612.96,2587.2,2612.43,333736.0
2024-10-29,2606.94,2617.8,2595.86,2617.8,363290.0
2024-10-30,2606.99,2613.47,2586.88,2593.79,487359.0
2024-10-31,2575.24,2579.65,2552.36,2556.15,406613.0
2024-11-01,2542.96,2559.3,2536.84,2542.36,319849.0
2024-11-04,2549.04,2588.97,2542.68,2588.97,373944.0
2024-11-05,2570.24,2586.73,2564.66,2576.88,310875.0
2024-11-06,2591.9,2592.75,2544.04,2563.51,548506.0
2024-11-07,2557.23,2579.81,2540.48,2564.63,465146.0
2024-11-08,2586.7,2593.15,2553.42,2561.15,448735.0
2024-11-11,2562.05,2562.05,2525.56,2531.66,572197.0
2024-11-12,2527.94,2532.44,2481.53,2482.57,735813.0
2024-11-13,2468.27,2478.87,2415.77,2417.08,619176.0
2024-11-14,2430.26,2441.43,2410.93,2418.86,639990.0
2024-11-15,2413.05,2433.18,2390.56,2416.86,623327.0
2024-11-18,2440.31,2480.01,2437.53,2469.07,443926.0
2024-11-19,2469.13,2479.39,2465.15,2471.95,410856.0
2024-11-20,2475.76,2489.15,2471.79,2482.29,408790.0
2024-11-21,2474.62,2496.97,2474.62,2480.63,451119.0
2024-11-22,2493.42,2511.23,2492.21,2501.24,543518.0
2024-11-25,2524.11,2541.76,2517.98,2534.34,564692.0
2024-11-26,2521.39,2526.62,2512.21,2520.36,441709.0
2024-11-27,2518.82,2526.32,2498.32,2503.06,414339.0
2024-11-28,2499.69,2513.63,2495.64,2504.67,342571.0
2024-11-29,2496.93,2496.93,2446.96,2455.91,384278.0
2024-12-02,2479.02,2483.29,2448.45,2454.48,328110.0
2024-12-03,2472.06,2500.67,2471.55,2500.1,324138.0
2024-12-04,2450.76,2483.04,2442.46,2464.0,670284.0
2024-12-05,2471.45,2471.45,2434.78,2441.85,519352.0
2024-12-06,2451.6,2459.24,2397.73,2428.16,630409.0
2024-12-09,2392.37,2399.52,2360.18,2360.58,591644.0
2024-12-10,2384.51,2419.06,2384.51,2417.84,598770.0
2024-12-11,2412.15,2443.34,2411.38,2442.51,617717.0
2024-12-12,2456.63,2487.95,2448.76,2482.12,664187.0
2024-12-13,2473.75,2500.32,2470.24,2494.46,577737.0
2024-12-16,2511.08,2515.62,2483.43,2488.97,526708.0
2024-12-17,2487.31,2487.31,2455.05,2456.81,559040.0
2024-12-18,2463.06,2492.0,2462.82,2484.43,441678.0
2024-12-19,2426.55,2450.05,2423.59,2435.93,504467.0
2024-12-20,2429.63,2430.69,2389.86,2404.15,617782.0
2024-12-23,2423.36,2446.97,2413.62,2442.01,428167.0
2024-12-24,2450.55,2452.85,2432.42,2440.52,386778.0
2024-12-26,2449.52,2449.52,2428.82,2429.67,322800.0
2024-12-27,2419.46,2423.86,2388.33,2404.77,311291.0
2024-12-30,2397.49,2429.75,2390.44,2399.49,303964.0
2025-01-02,2400.87,2410.99,2386.84,2398.94,350692.0
2025-01-03,2402.58,2454.67,2402.58,2441.92,407536.0
2025-01-06,2453.3,2489.1,2446.82,2488.64,302761.0
2025-01-07,2513.49,2521.86,2492.09,2492.1,407693.0
2025-01-08,2481.25,2526.77,2481.25,2521.05,362909.0
2025-01-09,2526.1,2535.87,2515.82,2521.9,404290.0
2025-01-10,2528.42,2535.24,2506.29,2515.78,377587.0
2025-01-13,2508.15,2513.93,2483.73,2489.56,578565.0
2025-01-14,2501.49,2504.89,2482.74,2497.4,414488.0
2025-01-15,2511.07,2524.36,2493.1,2496.81,538534.0
2025-01-16,2528.27,2534.01,2519.86,2527.49,451063.0
2025-01-17,2520.85,2528.48,2513.84,2523.55,445885.0
2025-01-20,2533.68,2536.72,2516.28,2520.05,437546.0
2025-01-21,2533.23,2548.44,2507.95,2518.03,572011.0
