date,open,high,low,close,volume
2024-08-27,5602.890137,5631.180176,5593.47998,5625.799805,2798990000.0
2024-08-28,5624.509766,5627.029785,5560.950195,5592.180176,3053450000.0
2024-08-29,5607.299805,5646.950195,5583.709961,5591.959961,3065640000.0
2024-08-30,5612.740234,5651.370117,5581.790039,5648.399902,4185850000.0
2024-09-03,5623.890137,5623.890137,5504.330078,5528.930176,3866350000.0
2024-09-04,5506.680176,5552.990234,5503.660156,5520.069824,3478140000.0
2024-09-05,5520.080078,5546.299805,5480.540039,5503.410156,3521650000.0
2024-09-06,5507.330078,5522.470215,5402.620117,5408.419922,3822800000.0
2024-09-09,5442.069824,5484.200195,5434.490234,5471.049805,3825940000.0
2024-09-10,5490.509766,5497.910156,5441.720215,5495.52002,3848180000.0
2024-09-11,5496.419922,5560.410156,5406.959961,5554.129883,3839450000.0
2024-09-12,5557.47998,5600.709961,5535.5,5595.759766,3655070000.0
2024-09-13,5603.339844,5636.27002,5601.649902,5626.02002,3500790000.0
2024-09-16,5615.209961,5636.049805,5604.529785,5633.089844,3437070000.0
2024-09-17,5655.509766,5670.810059,5614.049805,5634.580078,3443600000.0
2024-09-18,5641.680176,5689.75,5615.080078,5618.259766,3691390000.0
2024-09-19,5702.629883,5733.569824,5686.419922,5713.640137,4024530000.0
2024-09-20,5709.640137,5715.140137,5674.490234,5702.549805,7867260000.0
2024-09-23,5711.899902,5725.359863,5704.220215,5718.569824,3529550000.0
2024-09-24,5727.660156,5735.319824,5698.990234,5732.930176,3872710000.0
2024-09-25,5733.649902,5741.029785,5712.060059,5722.259766,3624910000.0
2024-09-26,5762.220215,5767.370117,5721.009766,5745.370117,4391180000.0
2024-09-27,5755.359863,5763.779785,5727.339844,5738.169922,3898530000.0
2024-09-30,5726.52002,5765.140137,5703.529785,5762.47998,4425730000.0
2024-10-01,5757.72998,5757.72998,5681.279785,5708.75,4025180000.0
2024-10-02,5698.140137,5719.629883,5674.0,5709.540039,3829050000.0
2024-10-03,5698.189941,5718.779785,5677.370117,5699.939941,3597450000.0
2024-10-04,5737.47998,5753.209961,5702.830078,5751.069824,3479400000.0
2024-10-07,5737.799805,5739.339844,5686.850098,5695.939941,3637790000.0
2024-10-08,5719.140137,5757.600098,5714.560059,5751.129883,3393400000.0
2024-10-09,5751.799805,5796.799805,5745.02002,5792.040039,3650340000.0
2024-10-10,5778.359863,5795.029785,5764.759766,5780.049805,3208790000.0
2024-10-11,5775.089844,5822.129883,5775.089844,5815.029785,3208720000.0
2024-10-14,5829.810059,5871.410156,5829.569824,5859.850098,3005250000.0
2024-10-15,5866.740234,5870.359863,5804.47998,5815.259766,3882120000.0
2024-10-16,5816.580078,5846.52002,5808.339844,5842.470215,3467230000.0
2024-10-17,5875.620117,5878.459961,5840.25,5841.470215,3480010000.0
2024-10-18,5859.430176,5872.169922,5846.109863,5864.669922,3374490000.0
2024-10-21,5857.819824,5866.919922,5824.790039,5853.97998,3407010000.0
2024-10-22,5832.700195,5863.040039,5821.169922,5851.200195,3342080000.0
2024-10-23,5834.5,5834.850098,5762.410156,5797.419922,3532650000.0
2024-10-24,5817.799805,5817.799805,5784.919922,5809.859863,3543030000.0
2024-10-25,5826.75,5862.819824,5799.97998,5808.120117,3501280000.0
2024-10-28,5833.930176,5842.919922,5823.080078,5823.52002,3691280000.0
2024-10-29,5819.680176,5847.189941,5802.169922,5832.919922,3879100000.0
2024-10-30,5832.649902,5850.939941,5811.279785,5813.669922,3851120000.0
2024-10-31,5775.339844,5775.339844,5702.859863,5705.450195,4425660000.0
2024-11-01,5723.220215,5772.52002,5723.220215,5728.799805,3796450000.0
2024-11-04,5725.149902,5741.430176,5696.509766,5712.689941,3602060000.0
2024-11-05,5722.430176,5783.439941,5722.100098,5782.759766,3768310000.0
2024-11-06,5864.890137,5936.140137,5864.890137,5929.040039,6329530000.0
2024-11-07,5947.209961,5983.839844,5947.209961,5973.100098,4925740000.0
2024-11-08,5976.759766,6012.450195,5976.759766,5995.540039,4666740000.0
2024-11-11,6008.859863,6017.310059,5986.689941,6001.350098,4333000000.0
2024-11-12,6003.600098,6009.919922,5960.080078,5983.990234,4243400000.0
2024-11-13,5985.75,6008.189941,5965.910156,5985.379883,4220180000.0
2024-11-14,5989.680176,5993.879883,5942.279785,5949.169922,4184570000.0
2024-11-15,5912.790039,5915.319824,5853.009766,5870.620117,4590960000.0
2024-11-18,5874.169922,5908.120117,5865.950195,5893.620117,3983860000.0
2024-11-19,5870.049805,5923.509766,5855.290039,5916.97998,4036940000.0
2024-11-20,5914.339844,5920.669922,5860.560059,5917.109863,3772620000.0
2024-11-21,5940.580078,5963.319824,5887.259766,5948.709961,4230120000.0
2024-11-22,5944.359863,5972.899902,5944.359863,5969.339844,4141420000.0
2024-11-25,5992.279785,6020.75,5963.910156,5987.370117,5633150000.0
2024-11-26,6000.029785,6025.419922,5992.27002,6021.629883,3835170000.0
2024-11-27,6014.109863,6020.160156,5984.870117,5998.740234,3363340000.0
2024-11-29,6003.97998,6044.169922,6003.97998,6032.379883,2444420000.0
2024-12-02,6040.109863,6053.580078,6035.330078,6047.149902,4412470000.0
2024-12-03,6042.970215,6052.069824,6033.390137,6049.879883,4095000000.0
2024-12-04,6069.390137,6089.839844,6061.060059,6086.490234,4003390000.0
2024-12-05,6089.029785,6094.549805,6072.899902,6075.109863,4212020000.0
