date,foreign,institution,individual,pension,trust,close
2021-10-22,-107953.0,185493.0,-67361.0,-46496.0,-18637.0,3006.16
2021-10-25,36432.0,258825.0,-304624.0,-34208.0,-32448.0,3020.54
2021-10-26,106129.0,347380.0,-475157.0,32517.0,-906.0,3049.08
2021-10-27,-284522.0,-349096.0,614175.0,-64910.0,-34140.0,3025.49
2021-10-28,-248443.0,-114543.0,340134.0,-14277.0,24630.0,3009.55
2021-10-29,-800521.0,-475884.0,1256575.0,-78611.0,-14505.0,2970.68
2021-11-01,-358644.0,636808.0,-265703.0,-65240.0,-33152.0,2978.94
2021-11-02,316637.0,765402.0,-1075275.0,-31894.0,-6685.0,3013.49
2021-11-03,-444430.0,-420407.0,839178.0,148479.0,-8105.0,2975.71
2021-11-04,347411.0,337373.0,-695419.0,-122924.0,-42174.0,2983.22
2021-11-05,102294.0,-445010.0,326183.0,-202498.0,-29359.0,2969.27
2021-11-08,-117397.0,-276092.0,364162.0,-92859.0,-61969.0,2960.2
2021-11-09,-137306.0,274019.0,-156481.0,-108999.0,-19974.0,2962.46
2021-11-10,-17698.0,-234981.0,234146.0,-91145.0,-43719.0,2930.17
2021-11-11,88502.0,-242648.0,131408.0,-140987.0,-62550.0,2924.92
2021-11-12,427073.0,594517.0,-1040199.0,104467.0,41069.0,2968.8
2021-11-15,398260.0,414721.0,-813673.0,46850.0,-27219.0,2999.52
2021-11-16,648750.0,-517149.0,-145630.0,-64277.0,-30896.0,2997.21
2021-11-17,109729.0,-875727.0,725989.0,-100067.0,-53528.0,2962.42
2021-11-18,-45662.0,-197361.0,221342.0,-55339.0,-59265.0,2947.38
2021-11-19,232820.0,74996.0,-354224.0,-12703.0,-13599.0,2971.02
2021-11-22,795687.0,567148.0,-1369167.0,54196.0,-22715.0,3013.25
2021-11-23,279933.0,-696063.0,380165.0,-26648.0,-101365.0,2997.33
2021-11-24,317772.0,-593131.0,239352.0,24494.0,-70825.0,2994.29
2021-11-25,-94558.0,-150365.0,201203.0,-1266.0,-14857.0,2980.27
2021-11-26,-176901.0,-370954.0,488062.0,-56177.0,-18807.0,2936.44
2021-11-29,39651.0,714313.0,-761931.0,-35998.0,70911.0,2909.32
2021-11-30,-133206.0,-639988.0,733787.0,-102395.0,-27977.0,2839.01
2021-12-01,942332.0,-110989.0,-1010675.0,123338.0,80333.0,2899.72
2021-12-02,885130.0,2889.0,-919867.0,36535.0,29019.0,2945.27
2021-12-03,151538.0,88680.0,-265462.0,153726.0,28710.0,2968.33
2021-12-06,2017.0,152086.0,-167883.0,81685.0,26832.0,2973.25
2021-12-07,207445.0,-75685.0,-139558.0,-70674.0,62064.0,2991.72
2021-12-08,-78868.0,802672.0,-686224.0,-18675.0,-18055.0,3001.8
2021-12-09,326127.0,636816.0,-507623.0,-239507.0,-123679.0,3029.57
2021-12-10,-288727.0,239481.0,14961.0,103957.0,239345.0,3010.23
2021-12-13,-138459.0,468762.0,-368325.0,74417.0,53113.0,3001.66
2021-12-14,183371.0,-187792.0,-37596.0,84079.0,-19254.0,2987.95
2021-12-15,-22533.0,-170007.0,166791.0,-68137.0,-35304.0,2989.39
2021-12-16,183457.0,-51540.0,-169221.0,-26647.0,-40268.0,3006.41
2021-12-17,531895.0,-13784.0,-527248.0,-5354.0,-24040.0,3017.73
2021-12-20,-554424.0,-574922.0,1086046.0,-106284.0,-66186.0,2963.0
2021-12-21,29318.0,601792.0,-647605.0,22999.0,-7706.0,2975.03
2021-12-22,416006.0,61277.0,-499763.0,-17011.0,-3224.0,2984.48
2021-12-23,226104.0,578680.0,-820862.0,-23048.0,-12584.0,2998.17
2021-12-24,189389.0,916150.0,-1132403.0,19905.0,10698.0,3012.43
2021-12-27,48619.0,436229.0,-544266.0,-12398.0,-8055.0,2999.55
2021-12-28,448893.0,1518870.0,-1997574.0,-3831.0,4801.0,3020.24
2021-12-29,-122290.0,-1736020.0,1851903.0,-88127.0,28765.0,2993.29
2021-12-30,-213768.0,-760566.0,953636.0,-46853.0,111152.0,2977.65
2022-01-03,265438.0,-811032.0,522981.0,-37577.0,16411.0,2988.77
2022-01-04,90351.0,-745317.0,645728.0,-15769.0,44849.0,2989.24
2022-01-05,617517.0,-1322174.0,698354.0,-79402.0,12125.0,2953.97
2022-01-06,181168.0,-485487.0,284731.0,-141575.0,95488.0,2920.53
2022-01-07,655435.0,-335729.0,-244197.0,-60388.0,43977.0,2954.89
2022-01-10,-81960.0,-499947.0,572888.0,-134251.0,-16846.0,2926.72
2022-01-11,482786.0,-261904.0,-218904.0,-94054.0,32991.0,2927.38
2022-01-12,455071.0,605504.0,-1072844.0,32324.0,16118.0,2972.48
2022-01-13,369685.0,-303114.0,-93451.0,-174713.0,9207.0,2962.09
2022-01-14,-245126.0,-595314.0,806923.0,-14423.0,-34253.0,2921.92
2022-01-17,-688831.0,178183.0,481412.0,-75722.0,-79451.0,2890.1
2022-01-18,15700.0,-227403.0,199945.0,-38083.0,-58749.0,2864.24
2022-01-19,34681.0,-11917.0,-29367.0,-119237.0,-27439.0,2842.28
2022-01-20,-277393.0,109130.0,146128.0,-102048.0,-19914.0,2862.68
2022-01-21,-220505.0,-643434.0,895770.0,-198122.0,-47071.0,2834.29
2022-01-24,-436194.0,593599.0,-137679.0,-55525.0,-14409.0,2792.0
2022-01-25,-430992.0,-168060.0,573338.0,-145759.0,-7241.0,2720.39
2022-01-26,-241721.0,-15766.0,221782.0,-160363.0,-23358.0,2709.24
2022-01-27,-1705551.0,1847766.0,-139319.0,1223073.0,200338.0,2614.49
2022-01-28,-701023.0,392309.0,273540.0,70663.0,92740.0,2663.34
2022-02-03,83780.0,49672.0,-133918.0,133617.0,40326.0,2707.82
2022-02-04,190350.0,214386.0,-414860.0,181831.0,64398.0,2750.26
2022-02-07,-6888.0,-832483.0,810876.0,-77975.0,23468.0,2745.06
2022-02-08,-96099.0,39352.0,45585.0,24136.0,-15612.0,2746.47
2022-02-09,239634.0,196999.0,-460136.0,14708.0,-14949.0,2768.85
2022-02-10,834484.0,-541883.0,-306752.0,-6786.0,-82979.0,2771.93
2022-02-11,610262.0,-695299.0,70597.0,-256541.0,-8117.0,2747.71
2022-02-14,66652.0,96097.0,-189317.0,174301.0,-34970.0,2704.48
2022-02-15,-219173.0,34231.0,170514.0,-16698.0,-1498.0,2676.54
2022-02-16,-44520.0,225360.0,-207953.0,-73.0,33293.0,2729.68
2022-02-17,649280.0,434468.0,-1098294.0,57924.0,196351.0,2744.09
2022-02-18,-151429.0,103999.0,42178.0,46984.0,4238.0,2744.52
2022-02-21,-63419.0,-89600.0,101620.0,-3089.0,4446.0,2743.8
2022-02-22,-326574.0,-382334.0,671419.0,-79213.0,-9057.0,2706.79
2022-02-23,-266673.0,189573.0,63430.0,27437.0,-16944.0,2719.53
2022-02-24,-666930.0,-482649.0,1099802.0,-105831.0,-10003.0,2648.8
2022-02-25,-122985.0,194174.0,-85211.0,-71273.0,-12954.0,2676.76
2022-02-28,96622.0,-380094.0,290801.0,-24186.0,-14472.0,2699.18
2022-03-02,-306371.0,-132217.0,426448.0,442.0,-11113.0,2703.52
2022-03-03,133140.0,259123.0,-391177.0,48247.0,3437.0,2747.08
2022-03-04,-586879.0,-425605.0,986843.0,-86327.0,-52215.0,2713.43
2022-03-07,-1181508.0,-959834.0,2115307.0,-143031.0,-70356.0,2651.31
2022-03-08,-473645.0,-291397.0,732044.0,-38860.0,-36590.0,2622.4
2022-03-10,-426991.0,764463.0,-352464.0,-57218.0,36204.0,2680.32
2022-03-11,-686123.0,-371015.0,1029409.0,-95111.0,10413.0,2661.28
2022-03-14,-639940.0,5461.0,625037.0,81649.0,-35561.0,2645.65
2022-03-15,-675254.0,47773.0,598643.0,106019.0,-9865.0,2621.53
2022-03-16,-134080.0,365628.0,-236340.0,55279.0,-1965.0,2659.23
2022-03-17,463916.0,250388.0,-695388.0,-30378.0,30267.0,2694.51
2022-03-18,-102083.0,-14266.0,135331.0,52890.0,-22579.0,2707.02
2022-03-21,-489837.0,-334621.0,805955.0,-59104.0,-20744.0,2686.05
2022-03-22,219767.0,-32275.0,-185451.0,46538.0,16898.0,2710.0
2022-03-23,57151.0,235504.0,-298539.0,55325.0,-31053.0,2735.05
2022-03-24,1016196.0,-1585857.0,509133.0,-25887.0,11683.0,2729.66
2022-03-25,-551719.0,-127831.0,663403.0,4344.0,-27391.0,2729.98
2022-03-28,-262836.0,67597.0,192144.0,3623.0,-22403.0,2729.56
2022-03-29,-279923.0,326574.0,-8465.0,-34174.0,-44492.0,2741.07
2022-03-30,-9628.0,159297.0,-137998.0,-28467.0,-62165.0,2746.74
2022-03-31,-174259.0,188686.0,-12772.0,6569.0,-3976.0,2757.65
