date,open,high,low,close,volume
2021-08-30,1030.65,1035.77,1027.84,1031.84,1178121.0
2021-08-31,1032.77,1038.33,1026.36,1038.33,1243474.0
2021-09-01,1038.09,1046.0,1035.09,1045.98,1145479.0
2021-09-02,1048.15,1048.2,1042.36,1047.19,1292477.0
2021-09-03,1049.81,1054.53,1047.12,1053.85,1435361.0
2021-09-06,1056.3,1056.3,1049.27,1052.96,1331556.0
2021-09-07,1054.03,1054.76,1049.8,1054.43,1568516.0
2021-09-08,1053.46,1053.46,1037.22,1037.22,1479336.0
2021-09-09,1033.97,1042.04,1027.64,1034.62,1414153.0
2021-09-10,1035.86,1039.73,1026.97,1037.91,1378379.0
2021-09-13,1036.86,1037.5,1023.98,1026.34,1261320.0
2021-09-14,1029.57,1038.94,1028.4,1037.74,1157085.0
2021-09-15,1039.57,1044.26,1038.8,1042.79,1438562.0
2021-09-16,1047.85,1048.37,1037.72,1039.43,1131796.0
2021-09-17,1040.73,1046.13,1033.69,1046.12,1160928.0
2021-09-23,1040.38,1043.58,1036.25,1036.26,968175.0
2021-09-24,1040.43,1045.21,1034.8,1037.03,1306784.0
2021-09-27,1037.21,1039.63,1031.93,1034.82,1045960.0
2021-09-28,1034.04,1034.07,1012.51,1012.51,1396083.0
2021-09-29,994.61,1004.85,989.07,1001.46,1313134.0
2021-09-30,1001.92,1010.03,999.58,1003.27,1290217.0
2021-10-01,998.7,1002.68,982.26,983.2,1371271.0
2021-10-05,974.24,974.24,950.09,955.37,1346265.0
2021-10-06,962.62,967.67,922.36,922.36,1651916.0
2021-10-07,932.65,953.48,932.32,953.43,1353557.0
2021-10-08,959.81,961.72,948.02,953.11,1339875.0
2021-10-12,951.12,951.12,936.95,940.15,1142384.0
2021-10-13,939.4,954.63,939.28,953.47,1049503.0
2021-10-14,960.58,983.63,960.52,983.43,1191420.0
2021-10-15,990.24,992.16,981.83,990.54,1365015.0
2021-10-18,992.57,997.92,985.14,993.86,1188921.0
2021-10-19,997.57,1005.35,997.1,1005.35,1375184.0
2021-10-20,1009.11,1011.55,1001.1,1001.62,1552193.0
2021-10-21,1003.48,1004.61,992.04,993.7,1559957.0
2021-10-22,992.22,1000.15,989.43,995.07,1161758.0
2021-10-25,994.75,995.39,986.55,994.31,1061836.0
2021-10-26,1000.32,1011.76,1000.29,1011.76,1330617.0
2021-10-27,1012.91,1013.17,1006.03,1008.95,1273225.0
2021-10-28,1008.93,1011.5,999.59,1000.13,1311944.0
2021-10-29,1004.91,1005.19,991.03,992.33,1318559.0
2021-11-01,995.56,1001.25,994.28,998.57,1173730.0
2021-11-02,1000.96,1012.2,1000.96,1009.44,1399931.0
2021-11-03,1011.2,1013.68,1003.66,1005.0,1099572.0
2021-11-04,1012.62,1015.72,995.73,1001.43,1227813.0
2021-11-05,1006.04,1006.04,995.35,1001.35,1253705.0
2021-11-08,999.08,1003.18,988.36,1002.5,1254165.0
2021-11-09,1002.51,1010.79,1002.51,1008.68,1245497.0
2021-11-10,1006.59,1006.9,983.82,987.75,1476503.0
2021-11-11,981.42,994.69,979.68,992.65,1108640.0
2021-11-12,999.29,1009.15,998.14,1009.07,856018.0
2021-11-15,1016.35,1029.07,1016.16,1029.03,932603.0
2021-11-16,1029.35,1035.98,1027.07,1035.46,995271.0
2021-11-17,1039.36,1039.36,1028.02,1031.26,1410241.0
2021-11-18,1033.16,1034.51,1018.13,1032.77,1467430.0
2021-11-19,1032.07,1042.4,1029.54,1041.92,1268957.0
2021-11-22,1043.55,1045.36,1023.13,1032.31,1320324.0
2021-11-23,1024.33,1029.08,1012.95,1013.72,1037748.0
2021-11-24,1015.23,1021.13,1003.19,1020.13,1023600.0
2021-11-25,1023.41,1025.9,1015.62,1015.66,1097456.0
2021-11-26,1017.9,1021.15,999.4,1005.89,1239981.0
2021-11-29,986.64,1002.79,980.26,992.34,1347690.0
2021-11-30,1003.04,1004.83,960.84,965.63,1356752.0
2021-12-01,969.9,977.73,949.86,977.15,1079798.0
2021-12-02,967.34,978.16,961.98,977.43,1091537.0
2021-12-03,981.65,998.49,977.91,998.47,1211827.0
2021-12-06,990.07,994.15,980.87,991.87,1060488.0
2021-12-07,996.89,999.52,991.07,996.64,1017251.0
2021-12-08,1006.61,1012.64,1003.92,1006.04,1065607.0
2021-12-09,1009.29,1022.87,1009.29,1022.87,1060993.0
2021-12-10,1016.34,1018.42,1010.02,1011.57,1153421.0
2021-12-13,1014.27,1014.9,1005.96,1005.96,1339323.0
2021-12-14,1001.11,1007.73,996.85,1002.81,1081581.0
2021-12-15,1002.18,1007.44,999.21,1003.52,1125306.0
2021-12-16,1013.05,1016.32,1006.9,1007.86,1336914.0
2021-12-17,1001.51,1005.36,995.93,1001.26,1095248.0
2021-12-20,1001.17,1004.75,990.51,990.51,1009821.0
2021-12-21,994.53,997.3,982.43,996.6,1371818.0
2021-12-22,1004.1,1005.23,999.05,1000.13,1182499.0
2021-12-23,1004.45,1007.42,1001.48,1003.31,1435843.0
2021-12-24,1008.05,1010.98,1005.61,1007.42,1235764.0
2021-12-27,1008.9,1013.7,1006.87,1011.36,1151529.0
2021-12-28,1016.29,1027.45,1014.39,1027.44,1286746.0
2021-12-29,1028.46,1034.05,1022.73,1028.05,950937.0
2021-12-30,1029.74,1034.87,1021.59,1033.98,907419.0
2022-01-03,1038.97,1039.67,1030.57,1037.83,1054530.0
2022-01-04,1041.07,1041.29,1025.23,1031.66,1324121.0
2022-01-05,1029.12,1029.12,1007.84,1009.62,1500451.0
2022-01-06,993.6,1003.01,979.83,980.3,1461245.0
2022-01-07,986.18,997.02,986.18,995.16,1470713.0
2022-01-10,992.49,992.49,976.41,980.38,1270478.0
2022-01-11,982.44,985.13,962.91,969.92,1280482.0
2022-01-12,978.69,991.71,978.69,991.33,1158100.0
2022-01-13,994.55,994.55,981.31,983.25,1235146.0
2022-01-14,971.11,977.69,967.19,971.39,1367328.0
2022-01-17,971.81,971.81,954.82,957.9,1111748.0
